"Source:","C:\Users\sylvain\Documents\dev\trublion\bab_v1\pr001_instrubab\cad\bab_top.sch"
"Date:","24/11/2019 16:24:37"
"Tool:","Eeschema (5.1.4)-1"
"Generator:","C:\dev\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","84"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C101","100n","Device:C","Capacitors_SMD:C_0805_HandSoldering",""
"","","C102","100n","Device:C","Capacitors_SMD:C_0805_HandSoldering",""
"","","C103","220n","Device:C","Capacitors_SMD:C_0805_HandSoldering",""
"","","C104","220n","Device:C","Capacitors_SMD:C_0805_HandSoldering",""
"","","C105","100u","Device:CP","Capacitors_SMD:CP_Elec_6.3x7.7",""
"","","C106","100n","Device:C","Capacitors_SMD:C_0805_HandSoldering",""
"","","C107","100n","Device:C","Capacitors_SMD:C_0805_HandSoldering",""
"","","C201","1u","Device:C","Capacitors_SMD:C_2220_HandSoldering",""
"","","C202","100p","Device:C","Capacitors_SMD:C_0805_HandSoldering",""
"","","C203","47u","Device:C","Capacitors_SMD:CP_Elec_6.3x7.7",""
"","","C204","47u","Device:C","Capacitors_SMD:CP_Elec_6.3x7.7",""
"","","C205","100p","Device:C","Capacitors_SMD:C_0805_HandSoldering",""
"","","C206","47u","Device:C","Capacitors_SMD:CP_Elec_6.3x7.7",""
"","","C207","6.8u","Device:C","Capacitors_SMD:CP_Elec_5x5.7",""
"","","C208","100n","Device:C","Capacitors_SMD:C_0805_HandSoldering",""
"","","C209","10u","Device:C","Capacitors_SMD:CP_Elec_6.3x7.7",""
"","","C303","100u","Device:CP","Capacitors_SMD:CP_Elec_6.3x7.7",""
"","","C304","100n","Device:C","Capacitors_SMD:C_0805_HandSoldering",""
"","","C305","10n","Device:C","Capacitors_SMD:C_0805_HandSoldering",""
"","","C306","100u","Device:CP","Capacitors_SMD:CP_Elec_6.3x7.7",""
"","","C307","100n","Device:C","Capacitors_SMD:C_0805_HandSoldering",""
"","","D101","MBRS3100T3G","Device:D_Schottky","flax_lib:DO-214AC",""
"","","D102","Led_Small","bab_top-rescue:Led_Small","Pin_Headers:Pin_Header_Straight_1x02",""
"","","D201","BAS21","bab:BAS21","TO_SOT_Packages_SMD:SOT-23_Handsoldering",""
"","","D202","BAS21","bab:BAS21","TO_SOT_Packages_SMD:SOT-23_Handsoldering",""
"","","D203","Led_Small","bab_top-rescue:Led_Small","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"","","D301","MBRS3100T3G","Device:D_Schottky","flax_lib:DO-214AC",""
"","","D302","MBRS3100T3G","Device:D_Schottky","flax_lib:DO-214AC",""
"","","D303","MBRS3100T3G","Device:D_Schottky","flax_lib:DO-214AC",""
"","","D402","Led_Small","bab_top-rescue:Led_Small","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
